Title,Genres,Release Date,Country,Movie Rating,Review Rating,Movie Run Time,Cast,Language,Budget
Midnight Hair (2014), Horror| Mystery,06/07/1905,China,RATED,5.3,95,Xiangyu Dai|Wei Lee|Yina Rrmea|Guitian Sun|Daniella Wang|Feng Xiao|Lu Xuan|Zitong Yang,Chinese,1955
Breath of Hate (2011), Drama| Horror| Romance,07/07/1905,USA,RATED,4.5,90,Ezra Buzzington|Jason Mewes|Lauren Walsh|Jack Forcinito|Monique Parent|Timothy Muskatell|Ricardo Gray|Felissa Rose|Alexis Zibolis|Jeanine Daniels|Trista Robinson|Ted Prior|Tommy Pistol|Joanna Angel|Alissa Koenig,English,1604
Turtle Island (2013), Horror| Thriller,05/07/1905,USA,RATED,6.4,80,Elizabeth Alderfer|Rik Burns|John Carlson|Devin Kelley|Erin Keskeny|Samantha Miller|Tom Pelphrey|Adam Smith Jr.|David Wexler,English,1775
Zombie Mutation (2012), Horror,04/11/2012,UK,RATED,6.6,80,Kevin James|Harmony Hex|Chris Greensmith|Robert Kitson|Samantha Alexandra|David Early|Gemma Leigh Brown|Simon Prest|Marie Heaton|Robert Englund|Anthony Park|Glynz Amedec|Mike Wroe|Adam A. Park|Liam Regan,English,1913
Azap (2015), Horror| Thriller,11/12/2015,Turkey,RATED,5.6,90,Sonya Dicle Akbas|Oktay Akyörük|Tugçe Aydin|Dilsah Demir|Irem Deniz|Çagatay Keçeci|Ayse Selen|Aysin Yesim Çapanoglu|Macit Çevikalp,Turkish,908
Doll Murder Spree (2017), Horror,24/10/2017,USA,RATED,4.5,80,Moses J. Moseley|Connie Jo Sechrist|Reyna Young|John Crosthwaite|Marv Blauvelt|Mary-Madison Baldo|Alex Bretow|Annalisa Bastiani|Shotzi Blakk Heartt|Raul DeLaRosa|Charlie Baker,English,1772
Paranormal Sex Tape (2016), Horror,24/05/2016,USA,RATED,2.5,71,Darren Munn|Shaine Sherlock|Ricky Stain|Dick Van Dark|Amber West,English,1928
Poltergeist Encounters (2016), Horror,08/10/2016,Canada,RATED,3.3,80,Andre Guantanamo|Rachél Hopkins|Matt Bandura|John Migliore|Deborah Jayne Reilly Smith|Lena Montecalvo|Mike Trebilcock|Simon Wheeldon|Sabrina Migliore|Nicholas Migliore,English,1275
Show Yourself (2016), Drama| Horror,02/04/2016,USA,RATED,8.6,79,Ben Hethcoat|Corsica Wilson|Barak Hardley|Stephen Cone|David McElwee|Clancy McCartney|Robert Longstreet,English,1743
Chad's Dental Nightmare (2017), Horror,31/10/2017,USA,RATED,3.5,60,Chase Bolnick|Matthew Woodward|Jack Caron|Brett Glassberg|Edward X. Young|Ben Sinek|Sam Kasmin|Lilah Grayce|Jay Stoddart,English,955
The Lurking (2015), Horror,10/12/2015,USA,NOT RATED,6,61,Shayne White,English,1303
The Last Revenants (2017), Horror,10/08/2017,USA,RATED,5.6,96,Helene Udy|Elissa Dowling|Suzi Lorraine|Sheri Davis|Matt Gulbranson|Nicole Holt|Christopher Drummond|Joel Flynn|Glenn Turney|Alan Gunter|Tom Young|Katherine King|Amanda Durbin|Michael Cruz|Leah Gradney,English,1336
Sleeper (2012), Action| Horror,26/06/2012,USA,RATED,3.9,86,Ty Hungerford|Bruce Hopkins|Scott Levy|Kym Jackson|Ray Sinclair|Lauren Orrell|Nicole Payten-Betts|Adam Fawns|Robert Reitano|Cory Robinson|Chris Hillier|Christian McCarty|Darko Tuscan|Nathan Corbett|Cameron Ambridge,English,1277
Nightscape (2012), Fantasy| Horror| Thriller,26/06/2015,Germany,NOT RATED,3,89,Brett Barron|Michael Biesanz|Dave Brown|Isaac Brown|Sailor Christopher|Morgan Elizabeth Cox|Tamara Duncan|David W. Edwards|Jesse Frola|Susan Funk|Emily Galash|Donovan James Gallardo|Greg Gilbert|Merrilin Gregoire|Raymond Gregoire,English,1227
Dark Prism (2015), Comedy| Fantasy| Horror| Sci-Fi,07/07/1905,USA,RATED,4,106,Sofe Cote|Chandani Smith|Sara Kaiser|Max Husten|Robert Prichard|Fritz Donnelly|Lucy Love|Mickala McFarlane|Colin Ambulance|Louisa Ashleigh|Wayne Garrett Jurgen Munster Bal|Zeev Banks|Cassidy Barr|Nekoda Bear|Jennifer Berton,English,273
Billy Club (2013), Comedy| Horror,01/10/2013,USA,UNRATED,5.6,94,Marshall Caswell|Erin Hammond|Nick Sommer|Max Williamson|Mark Metcalf|Mathew Dunlop|Thaine H. Allison Jr.|Al Bardin|Peter Batchelder|Suziey Block|Trevor Burke|Bobby Ciraldo|Kelly Cunningham|Michael Denk|Peter Donalds,English,188
Kill That Bitch (2014), Horror,04/02/2014,USA,RATED,4.7,68,Bloodcountess Bathory|Jessica Cook|Josh Eal|Elysia S. Gipson|Haley Madison|Mandi Monroe|Dave Parker|Erin R. Ryan|Brandon Salkil,English,1225
Across the River (2013), Horror| Mystery| Thriller,08/05/2014,Germany,RATED,5.5,92,Renzo Gariup|Marco Marchese|Lidia Zabrieszach,Italian,1210
Deadly Waters (2015), Horror,01/06/2015,UK,RATED,4.7,90,Becca Hirani|Bruce Langley|Natalie Amanda Gray|Simon Harkness|Kate Lush|Tony Manders|Tara MacGowran|Anna Liddell|Charlene Cooper|Michael Cotton|Danny Coakley|Maria Estevez-Serrano|Anna Alfieri|Saudiq Baoku|Catherine Carpenter,English,978
*69 (2016), Horror| Mystery| Thriller,01/07/2016,USA,RATED,3.9,90,Patrick Joseph Connolly|Laurie Davis|James Gaudioso|Carolyn Kennedy|Christine Kolenik|Beverly Lauchner|Regina Mahoney|Joseph Miller|Jason Arthur Russo,English,1083
The Black Dahlia Haunting (2012), Crime| Drama| Horror| Mystery,01/07/2013,Canada,RATED,5,80,Devanny Pinn|Britt Griffith|Noah Dahl|Alexis Iacono|Cleve Hall|Brandon Slagle|Jessica Cameron|Sarah Nicklin|Daniel Murawka|Tori Rachael|Patrick W. Henry|Gabrielle Benson|Holly Griffith,English,609
The Power (2015), Horror,07/07/1905,UK,RATED,6.5,90,Grace Vallorani|Constance Carter|Valentine Pelka|Jonnie Hurn|Ian T. Dickinson|Janan Chopra|Rosie Fellner|Jon-Paul Gates|Abigail Hamilton|Earl Ling|Pano Masti|Teddy Deegan|Tyler Meads|Leon Alexander|Fay Angel,English,2
Demimonde (2017), Horror| Mystery| Romance,09/07/1905,USA,NOT RATED,5.1,90,Dorian Louis|Hunter Kohl|Liam Haynes|Christy Williams|Barry Fisher|Eric Fulcher|Matt Story|Susan Lanigan|Aubrey Brummett|Ronnie Hooks|Sally Jubb|Sonora Morris|Allyson Leigh Jordan,English,1503
Portrait of a Zombie (2012), Comedy| Drama| Horror,03/03/2012,USA,RATED,3.6,89,Patrick Murphy|Geraldine McAlinden|Rory Mullen|Paul O'Bryan|Sonya O'Donoghue|Todd Fletcher|Steven Neeson|Ciaron Davies|Sara Eavan|Gerry Shanahan|Diane Jennings|Neill Fleming|Bernie Fitzgerald|Elga Fox|Eoin Quinn,English,1641
The Night-Time Winds (2017), Drama| Horror| Thriller,22/09/2017,USA,RATED,4.6,45,Christopher Pennock|Kelly Erin Decker|Kate Avery|Nathan Wilson|Elyse Ashton,English,1519
Where Demons Dwell: The Girl in the Cornfield 2 (2017), Horror| Mystery| Thriller,13/01/2017,USA,RATED,5.6,140,Madeline Lupi|Michelle Lulic|Alex Santoleri|Tiffany Browne-Tavarez|Sami Bray|Hiram Ortiz|Mollie Sperduto|Brittini Schreiber|Hayley Wayne|Kevin Cusicanqui|Carmine Giordano|Melissa Malone|Isabella Mays|Lauren McCann|Robert Nicholson,English,93
The Terrible Two (2017), Horror| Thriller,09/07/1905,USA,RATED,2,84,Donny Boaz|Cari Moskow|Reid Doyle|Devin McGee|Tracy McMullan|Shane Callahan|Karen Labbe|Maureen Mountcastle|Eric Johann|Zoe Clarke|Arielle Breslerman|Martyn Woleben|Truma Edgerton|Ariana Baron,English,412
Harold's Going Stiff (2011), Comedy| Horror,07/08/2012,UK,NOT RATED,5.7,77,Stan Rowe|Sarah Spencer|Andy Pandini|Phil Gascoyne|Lee Thompson|Richard Harrison|Liz Simmons|Michaela Anne Rowe|Roger Bingham|Molly Howe|Michael Etheridge|Richard Atkinson|Daniel Gosling|Jane Hardcastle|Alex Brock,English,641
Abandoned in the Dark (2014), Horror| Thriller,08/11/2014,USA,NOT RATED,5.8,83,Kane Hodder|Marcin Paluch|Ed Bergtold|Hillary Hamilton|Andrew Roth|Melia Morgan|Bill Weeden|Stuart Greene|Marci Hopkins|Sean Deblat|Michelle Cammarata|Aimee Theresa|Katie Fabel|Freddie Maas|Frank Lamendola,English,1825
A Dark Place Inside (2014), Horror,01/02/2014,USA,RATED,4.1,80,Chris Dalbey|Kieran Boyle|Rob Dimension|Genoveva Rossi|Dakota Jade|Andrew Hall|James Costa|Lauren Ojeda|Nat Gennace|Erin Anthony|Jason Boyle|Anthony Edward Curry|Jennifer Deverin|Matt Garafalo|Cole Geissler,English,970
Blood Demon Rising (2017), Horror| Thriller,17/02/2017,USA,RATED,4.9,93,Stephen Lestat|Logan Littlefield|Ronee Collins|Simone Leorin|Norman Newkirk|Jareth Hixon|Angela Garner|Chelsey Tillich|Tom Ricciardelli|Gabrielle Urban|Tiffany Black|Kitna Adams|Tess Beiker|Shelby Bryant|John Bunn,English,1956
A Haunting at the Rectory (2015), Horror,08/06/2015,UK,NOT RATED,3.5,88,Lee Bane|Suzie Frances Garton|Tom Bonington|Sarah-Louise Tyler,English,1702
Furry Nights (2016), Horror,30/11/2016,USA,RATED,8.2,90,Keith Dowsett|Amelia Hakleroad|Allison Joy McDaniel|Maddison Stroud|J. Zachary Thurman,English,1888
Morgana (2012), Horror,03/08/2012,Mexico,NOT RATED,3.7,90,Siouzana Melikian|Lilia Aragón|Alejandra Adame|Luis Felipe Tovar|Irán Castillo|Eugenio Becker|Alejandra Toussaint|David Ostrosky|Ana Julieta Récamier|Abraham Stavans|María Luisa Coronel|Mateo González Oses Obón,Spanish,1987
Red Summer (2017), Horror,01/03/2017,USA,RATED,6.4,105,Simón Andreu|Carlos Poyal|Guiem Juaneda|Aina Zuazaga|Juanan Cruz|Inés Palmer|Daniel Salom|Gaspar Alemany|Dominique Hull|Damien Ramos|Andreu Ferrer|Tenma Chinen Pou|Carles Jofre|Francisco Jiménez,Spanish,1695
Beyond the Grave (2010), Action| Crime| Horror| Western,13/02/2015,USA,RATED,4.2,89,Rafael Tombini|Álvaro Rosa Costa|Ricardo Seffner|Amanda Lerias|Luciana Verch|Leandro Lefa|Tatiana Paganella|Adriano Basegio|Marcos Guarani|Felipe Longhi|Isidoro B. Guggiana|Claudio Benevenga|Cassiano Griesang|Daniel Bacchieri|Lindon Satoru Shimizu,Portuguese,1620
Our Bloody Hallows Eve (2017), Crime| Horror| Thriller,31/10/2017,USA,RATED,3.9,90,Clint Narramore|Amy|Rodger Workman|Amy Narramore|Erin Trimble|Maria Tajon|Bill Heinle|Justin Plum|Zachary Simpson|James Crimson|Portia Marie|French Rob|James,English,1397
Unholy (2015), Drama| Horror| Thriller,25/10/2015,UK,RATED,5.8,82,Kelly Goudie|Simon Crudgington|Jenn Day|Katie Richmond-Ward|Carn Truscott|Cora Vanaman|Michael Muyunda|Naomi Long|June Tracy|Penelope Butler|Jas Steven Singh,English,149
Attack of the Herbals (2011), Comedy| Horror,04/09/2012,USA,RATED,3.6,81,Calum Booth|Steve Worsley|Richard Currie|Liam Matheson|Lee Hutcheon|Claire McCulloch|Margaret Bramwell|Jimmy Lynch|Alan Fraser|Lindsay Cromar|Dave Thomson|Mary Cox|Daniel Greavey|Dorothy Taylor|Mark Wood,English,396
Los muertos (2017), Horror,01/09/2017,USA,RATED,1.8,90,Noel Gugliemi|Dyana Ortelli|Philip Friedman|Natalie Ames|Ronnie Alvarez|Vince Romo|Tania Estrada|Sierra Reyes|Matt Nye|Maxie Santillan Jr.|Jaclyn Michelle Snoeberger|Philip De La Rosa|Daniel Casillas|Bianca Monahan|Bill Ibbs,English,1374
Area 407: Part Two (2013), Horror| Thriller,27/11/2013,USA,RATED,4,90,Abigail Schrader,English,1407
Haunted Trailer (2014), Comedy| Horror,22/07/2014,USA,RATED,4.4,90,Ron Jeremy|Joe Grisaffi|Jeremy James Douglas Norton|Jake Byrd|Lauren Leal|Steve Joseph|Roxy Vandiver|Nick W. Nicholson|Peyton Cottrell II|Danny Gallehugh|Kasey James|Karen Zombora|Amy Rene LaFavers|Elizabeth Redpath|Georgette Trevino,English,1943
Camp Blood First Slaughter (2014), Horror| Thriller,20/05/2014,USA,RATED,3.1,72,Houston Baker|Elizabeth V. Costanzo|Steve Diasparra|Kelsey Kaufmann|Jeff Kirkendall|Joshua Pollitt|Sarah Ryan|Ken Van Sant|Cindy Wheeler|Ashley Wray,English,890
The Rooms (2014), Horror,27/03/2014,Thailand,RATED,5.7,90,Markus Waldow|Savika Chaiyadej|Yoko Takano|Kavee Tanjararak|Ase Wang|Maythavee Weiss,Hindi,1097
Entity (2013), Drama| Horror| Thriller,03/09/2013,USA,RATED,3.6,107,Holt Boggs|Brandon Slagle|Nick Mancuso|Frederic Doss|Emma Waldron|Natalie Makenna|Jena Waldron,English,1032
Sledge (2014), Horror,02/09/2014,USA,NOT RATED,4.6,75,Dustin Bowman|Rachel Cornell|Tino Faygo|Kristian Hanson|Mary Hanson|Travis Hanson|Desiree Holmes|Russell Matoes|Troy Miller|Wendy Miller|Stephanie Tupper,English,1669
Marianne (2011), Drama| Fantasy| Horror| Thriller,03/07/2013,USA,NOT RATED,4.9,103,Thomas Hedengran|Peter Stormare|Tintin Anderzon|Sandra Larsson|Dylan M. Johansson|Viktoria Sätter|Helena Löwenmark|Gudrun Mickelsson|Patrik Andersson|Maria Bergsten|Peter Boija|Jonathan Bonin|Stella Edling|Kerstin Hansson|Tim Netzler,Other,281
Red Christmas (2014), Horror,09/12/2014,USA,RATED,6.1,60,Seth Gontkovic|Amie Wrenn|Shawn Shelpman|Steve Rudzinski,English,1012
Psychotic (2012), Action| Horror| Thriller,03/03/2015,USA,RATED,3.9,80,Jenna Verdicchio|Steve Hope Wynne|Kristina Dargelyte|Rosie Cochrane|David Aldridge|Adam Lewis|Mark Carlisle|Daniel Godward|Tzvet Lazar|Jodyanne Richardson|Rodolfo Coloma|David Alexander|Libby Braidwood|Natalie Bueza|James Gannon,English,353
Death-Scort Service Part 2: The Naked Dead (2017), Horror,07/04/2017,USA,RATED,5.2,90,Krystal Pixie Adams|Bob Glazier|'Sushi' Xhyvette Holder|Katie McKinley|Eight The Chosen One|Jules Sceiro|Miss Gia Love|Manda Micro|Stephanie Jensen|Erika Faith Lindbloom|Lucretia Lynn|Nadia White|Pete Girard|Greg G. Freeman|Kelly Helen Thompson,English,1845
Fly on the Wall (2017), Action| Crime| Horror| Thriller,27/06/2017,USA,RATED,7,89,Brian Combs|David Danipour|Terence Tierney|Rich Sands|Patrick Mark Turner|Abby Relic|Bridget Albaugh|Brando Abro|Kyle Eastman|Larry L Andrews|Mohammed Bardi|April Eaton|John Gura|Robert Hector|Josephine Hies,English,228
Night People (2015), Horror| Sci-Fi| Thriller,09/05/2016,USA,RATED,4.3,108,Michael Parle|Nigel Brennan|Claire Blennerhassett|Sarah Louise Carney|Aidan O Sullivan|Eoin Leahy|Kieran Kelly|Michael McLaughlin|Philip Doherty|Andrew Norry|Damian Gallagher|Daria Kalista|Derek O'Sullivan|John D. Ruddy|Shane Brohan,English,657
Hi5teria (2012), Horror| Mystery,29/03/2012,Indonesia,RATED,6.9,94,Tara Basro|Bella Esperance|Egy Fedly|Kriss Hatta|Dinda Kanyadewi|Luna Maya|Ichi Nuraini|Maya Otos|Poppy Sovia|Imelda Therinne|Sigi Wimala|Dion Wiyoko,Other,537
The Ungovernable Force (2015), Action| Adventure| Comedy| Horror| Sci-Fi| Thriller,01/01/2015,USA,RATED,6.5,101,Tony Moran|Lloyd Kaufman|Debbie Rochon|Diane Pimentel|Lin Hultgren|Apache Ramos|Arthur Hiou|Shend|Bill Weeden|Nic Cramer|Brian Douglas Young|Renee Mandrake|Graham King|Richard Chandler|Aurora Grabill,English,1712
Lebuhraya Ke Neraka (2017), Drama| Horror,04/05/2017,Malaysia,RATED,4,83,Awie|Khir Rahman|Shahz Jaszle|Dazrin Kamarudin|Miera Leyana|Fatin Syahirah|Rozita Busu|Pekin Ibrahim|Lan Muar,Other,565
Test Group (2015), Drama| Horror,01/01/2015,USA,RATED,4.8,163,Amy Allyson Oliver|Jared Allman|Krissy Notes|Brendon Earp|Ondie Daniel|Jayson Cross|Denise Bailey|Jeffery James Bucchino|James Wojnowski|Cameron Campbell|Chase Wainscott|Catie Heeter|Eric Rick Kline|Robert Jones|Christa Beth Campbell,English,340
Headless (2014), Drama| Horror| Thriller,22/08/2014,USA,NOT RATED,5.9,71,Emily Jackson|Brecht Andersch|Brett Mann|Will Manning|Thomas Poole|John Mounier|Christopher Campbell|Kevin Molohan|Patrick Ford|Erin Lawrence|Zoe Raines|Jenna Nuesse|Vanessa Hernandez,English,1677
She's Allergic to Cats (2016), Comedy| Horror| Romance,18/06/2016,USA,RATED,6.4,82,Mike Pinkney|Sonja Kinski|Flula Borg|Veronika Dash|Honey Davis|Mike Dazé|Felipe Esparza|Luis Fernandez-Gil|Willis Jackson|Tom Kiesche|Livia Treviño|Mike Zehr,English,1703
Gehenna: Darkness Unleashed (2015), Horror,25/10/2015,USA,RATED,0.6,120,Dave Fairbanks|Marcus Murphy|Lauren Cash|Akiba Robinson|W. Keith Scott|Reese Langlois|Barry Battle|Tasha Nwude|Kazarr|Brilliance Hall|Antwane Carson|Therron Dumas|Marissa Carioscia|Caleb J. Jackson|Tasha Wooday,English,1367
Hana-Dama: The Origins (2014), Horror,18/01/2014,Japan,RATED,5.5,90,Tomori Abe|Shun Asada|Kei Fujiwara|Daisuke Iijima|Kôichi Imaizumi|Masayo Itô|Yuki Kondô|Akie Maruyama|Eriko Nakamura|Rina Sakuragi|Maika Shimamura|Tarô Suwa|Tei Tomari,Japanese,216
Socialistický Zombi Mord (2014), Horror,25/04/2014,Slovakia,RATED,6,94,Boris Bitukov|Viktor Gschweng|Hanka Harencarova|Peter Levay|Denisa Rotlingova|Veronika Valentovicova|Tibor Zvonar,Other,509
A Touch Unseen (2014), Horror,01/05/2014,USA,NOT RATED,5.2,82,,Other,906
Air terjun pengantin phuket (2013), Horror| Thriller,31/01/2013,Indonesia,RATED,5.4,83,Tamara Blezinski|Darius Sinathrya|Kimberly Ryder|Udeh Nans|Putri Una|Stefan William|Laras Monca|Edward Akbar|Ray Sahetapy,Other,54
Like a Bat Outta Hell (2013), Drama| Horror| Thriller,27/05/2015,Philippines,NOT RATED,4.2,92,Vernon Wells|Rachael Murphy|Marco Dapper|Dan Balcaban|William Wensley|Di Lesson|John Reynolds|Sue Broberg|Lovlee Carroll,English,76
Aaaah (2014), Adventure| Horror| Thriller,28/11/2014,India,RATED,5.7,138,Gokulnath|Bobby Simha|Meghna|Bala Saravanan|Srijith P.S.|Ashokan|S.S. Thalabathi|Monisha|T. Ramesh|Iqbal|Elaya Prasad|Priya|Hussain Jamal|Gowri Shankar|Nori,Other,257
Mohini (2017), Horror,09/07/1905,India,RATED,5.9,90,Dilyana Bouklieva|Trisha Krishnan|Elena Valdameri|Matt Townsend|Jackky Bhagnani|Jangiri Madhumitha|Suresh|Shenturan|Ganeshkar|Poornima Bhagiyara,Other,27
The Midnight Matinee (2017), Horror| Mystery| Thriller,19/05/2017,USA,RATED,6.5,46,Maggie Tehan|Justin Doescher|Juan-Pablo Veizaga|Shaun Woodland|Ian Flanders|Melissa Merry|Aggie Binkley|Maggie Binkley|Becky Edwards|Jimmy Edwards|Sophie Edwards|Heather Masters|Jennifer McCormick|Santiago Veizaga,English,785
House of Whores (2015), Horror,01/07/2015,USA,RATED,7.5,55,Tom Komisar|Daniel Murphy|Paul Arnone|R.J. Cecott|Linda Schrader|Maella Cai Vane|Lindsey McIntire|Nurse Hatchet,English,278
Realm of Souls (2013), Horror,27/09/2013,USA,RATED,4.5,118,Lance Paul|Ella Bardine|Jon Bailey|Chase Smith|Jacob Williams|Amber Erwin|Teal Haddock|Zoe Myers|Blake Ivey|Katie Blackburn|Rebecca Thomason|Brian Kurtis|K.J. Bump|Jessica Schmahl|Kate Wasiele,English,14
The Slayers (2015), Comedy| Horror,08/07/1905,UK,RATED,9,101,Darren McAree|Matthew Sandland|George Newton|Sophie Elsby|Dan Smith|Marnix Van Der Kraan|Pete Bennett|Darren Anstey|Brooklyn Baker|Mark Carter|Jason Conway|Kate Cubley|Colin Dmitri|Tim Edwards|Martin Elliot,English,1576
The Jokesters (2015), Comedy| Horror| Thriller,21/07/2015,USA,RATED,5.2,70,Lyndsi LaRose|Luis Jose Lopez|Nathan Reid|Ryan Ryans|Dante Spencer|Sandra Stone|Gabriel Tigerman|Jen Yeager,English,1862
"Silent Night, Bloody Night 2: Revival (2015)", Horror,15/03/2015,USA,NOT RATED,3.5,90,Julia Farrell|Luc Bernier|Jennifer Runyon|Pete Lipins|Jennii Caroline|Jeanne Kern|Rich Kern|Chad Haufschild|Jarad Allen|Breana Mitchell|Jeff Dylan Graham|Mike Crawford|Sarah Moshman|Kia Beason|Rikki Wallace,English,1118
The Devils Door (2016), Horror,20/05/2016,USA,RATED,8.2,90,Shawn Biery|Joanna Burke|Billy Obryen Cobb|Ricky D'Alonzo|Kyle Douthy|Leo Jaramillo|Alex Michalos|Gordon Price|Deanna Quintana|DeAnna Garcia Quintana|James Shiels III|Chelsia Simmons|Malik Big Leak Smith|Jenn Sparx|Johnny Trash,English,1836
No 46 (2016), Horror,28/02/2016,Australia,RATED,4.4,90,Deborah Joyce|Gerard Holland|Sarah Ann Wiles|Jack Marsden|Eddy Price|Evangeline Alvarez|Therese Antoun|Brooke Beverley|Amelia Buggiere|Winnie Chong|Charles Clarke|Georgina Clarke|Rebecca Clarke|Christopher Collins|Johnathan Leigh Collins,English,116
Vampire Clay (2017), Horror,21/09/2017,USA,RATED,5.9,80,Ena Fujita|Asuka Kurosawa|Yuyu Makihara|Ryô Shinoda|Momoka Sugimoto|Kyôka Takeda|Kanji Tsuda,Japanese,1947
In April (2016), Action| Drama| Fantasy| Horror| Thriller,01/04/2016,USA,RATED,8.5,119,Lily Blane|Carlo Bruno|Marina Bruno|Michael Earle Caza|Anastasia Kimmett|Ian McEachern|Sylvain Morin|Nedra Nash|Howard Perry|Chris Urquhart,English,1873
Dead Stop (2011), Horror,17/01/2016,USA,RATED,6.1,82,Cathy Baron|Jon Briddell|Erin Campbell|Sarah Flannery|Brittney Krasts|Devin Leigh|Nikki McKenzie|Brian Ramian|Michael Rupnow|Nikolai Stolpe|Nate Wayman,English,810
Ridge War Z (2013), Horror| Thriller| War,05/11/2013,USA,RATED,2.8,89,Dominique Marsell|Travis O'Leary|Kyle Gordon|Dane O'Leary|Will Le Fevre|Manuel Eduardo Ramirez|Tyler Allen|Alek Gearhart|Andrew Jackson|Eoin Hartel,English,210
Raichi Hikari kurabu (2015), Comedy| Horror| Thriller,13/02/2016,Japan,RATED,6,90,Kisetsu Fujiwara|Yûki Furukawa|Junya Ikeda|Shôtarô Mamiya|Reiya Masaki|Ryô Matsuda|Shûhei Nomura|Amane Okayama|Junki Tozuka,Japanese,910
Untitled (2011), Comedy| Drama| Horror,23/01/2015,UK,RATED,5.2,90,Danny Goldberg|Nikki Harrup|Shaun Troke|Leonora Lim-Moore|Holly Kenyon|Steve Purbrick|Paul Fields|Laurence Patrick,English,1482
Andrey Iskanov's Visions of Suffering: Uroboros (2016), Horror,08/07/1905,Sweden,RATED,7.9,90,Anastasia Asafova|Harry Bromley Davenport|Tatyana Grehova|Nadejda Gutnikova|Svyatoslav Iliyasov|Andrey Iskanov|Manoush|Victoria Smolajo|Lena Vidal|Mariya Zakharova,Russian,1273
Mythily Veendum Varunnu (2017), Horror,21/07/2017,India,RATED,3.2,94,Kiran Raj|Shivani|I.M. Vijayan,Other,1789
The Possessed (2016), Horror,23/07/2016,China,RATED,6.9,110,Tianwen Dong|Jia He|Shuda Zhao|Zhongxue Wen|Yuan He,Chinese,1077
When I Was Alive (2014), Drama| Horror| Musical| Thriller,31/01/2014,Brazil,RATED,6.4,108,Antônio Fagundes|Marat Descartes|Sandy|Gilda Nomacce|Helena Albergaria|Kiko Bertholini|Tuna Dwek|Rony Koren|Eduardo Gomes|Carlos Albergaria|Marc Libeskind|Lourenço Mutarelli|Lilian Blanc|Caetano Gotardo|Carla Kinzo,Portuguese,1370
Scarewaves (2014), Horror,26/09/2014,USA,RATED,5,82,Erin R. Ryan|Iabou Windimere|JoAnna Lloyd|Josh Miller|Joni Durian|Tonjia Atomic|Haley Madison|Joe Kidd|Titus Young Wolverton|Tara Clark|Rachael Redolfi|Geoff Burkman|Duane West|Eric Widing|Christy Faulkner,English,1585
The Couple (2014), Horror,30/10/2014,Thailand,RATED,5.8,90,Sushar Manaying|Pitchaya Nitipaisankul|Setthapong Phiangphor|Ravit Terdwong|Natthaweeranuch Thongmee,Hindi,222
Skuggan över Innfyr (2017), Horror,01/05/2017,Sweden,RATED,4.2,90,Marlene Johnsson|Niklas Eriksson|Eli Cisneros Setterwall|Alice Ringholm Heder|Daniel Johansson|Nikolaj Vind Sorber|Fanny Brännvall|Henrik Sjöman|Stefan Askernäs|Johan Bull|Christian De Flon|Anette Halvorsen|Viola Hollestein|Henrik Huber|Rebecca Jacobsson,Other,1772
La cripta de las condenadas: Parte II (2012), Horror,07/10/2012,Spain,RATED,5.8,90,Fata Morgana|Carmen Montes|Eva Neumann|Marta Simoes|María Traven|Olivia Deveraux,Spanish,437
Flesh of my Flesh (2015), Action| Horror,25/04/2015,USA,RATED,5.6,90,Heather Abbott|Barclay Albright|Reza Aleaziz|Jodi Altendorf|Paul Asbury|Nolon Ashley|Aurora|Autumn|Lorraine Bacuita|Terance Bacuita|Amanda Bailey|Andrew Baker|Damien Banki|Drew Barrios|Christine Becker,English,160
The Grave Bandits (2012), Adventure| Comedy| Fantasy| Horror,06/11/2013,Philippines,RATED,5.3,100,Lorenz Abay|Reynard Abay|Rosillo Abay|Anthony Arce|Dexter Arce|Jopet Arce|Lester Arce|Mark Philip Arce|Sammy Arce|Paul Anthony Cabrera|John Vincent Donato|Brezhnev Escusa|J.R. Estigoy|Jack Falcis|Ian Roy Gregorio,Filipino,853
Shallow Creek Cult (2013), Action| Horror| Thriller,18/08/2013,USA,NOT RATED,4,71,Gorio|King Jeff,English,1783
Dug Up (2013), Comedy| Horror,24/10/2013,USA,RATED,6.6,84,Paul McCarthy-Boyington|William Shockley|Greg Travis|Nicole Herold|Sarra Kaufman|Jeffery Dean|Jordann Beal|Ezra Buzzington|Sheree J. Wilson|Vince Morella,English,435
Dawn's Early Light (2013), Horror,04/05/2013,USA,RATED,7.6,90,Brian James Southard|Christina Collard|Dan Lynn,English,1366
The Purgation (2015), Drama| Horror| Thriller,02/04/2015,USA,RATED,3,86,Tiffany Kieu|Kat Johnston|Kate Dauphin|Tom Walsh|Corey Fabyan|Megan Truong|Martina D'Ovidio|Pearce Joza|Alex Gruenenfelder|Rachel Parker|Ami Sarfati|Brandon Kirk|Morgan Christensen|Nick Aders|Leah Catherine,English,191
Killer Holiday (2013), Horror| Thriller,05/11/2013,USA,RATED,3.1,103,Michael Copon|Rachel Lara|Julia Beth Stern|Alex Mandel|Kaley Victoria Rose|Matt Calloway|David Namminga|Noah Gibbings|Gabriel Olivera|Richard Hoag|Sydney Rae Shalhoob|Randolph Mantooth|Puffy Copon|Fuse|Brian Harwell,English,331
